	barcode01
Achromobacter agilis	4
Achromobacter aloeverae	3
Achromobacter animicus	11
Achromobacter anxifer	7
Achromobacter deleyi	1
Achromobacter denitrificans	6
Achromobacter dolens	2
Achromobacter insolitus	1
Achromobacter insuavis	9
Achromobacter veterisilvae	1
Achromobacter xylosoxidans	10
Acidaminococcus intestini	2000
Acinetobacter baumannii	2010
Acinetobacter bereziniae	1
Acinetobacter brisouii	1
Acinetobacter calcoaceticus	78
Acinetobacter chinensis	4
Acinetobacter courvalinii	2
Acinetobacter geminorum	21
Acinetobacter guillouiae	8
Acinetobacter gyllenbergii	3
Acinetobacter haemolyticus	6
Acinetobacter johnsonii	26
Acinetobacter junii	1988
Acinetobacter kanungonis	2
Acinetobacter lactucae	902
Acinetobacter modestus	2
Acinetobacter nosocomialis	543
Acinetobacter oleivorans	410
Acinetobacter pittii	297
Acinetobacter plantarum	3
Acinetobacter proteolyticus	1934
Acinetobacter rongchengensis	2
Acinetobacter seifertii	1744
Acinetobacter tjernbergiae	11
Acinetobacter venetianus	1
Acinetobacter wuhouensis	1
Actinobacillus arthritidis	1
Actinobacillus pleuropneumoniae	1
Aerococcus sanguinicola	3
Aerococcus urinae	1
Aerococcus urinaehominis	1993
Aeromonas allosaccharophila	8
Aeromonas bestiarum	3
Aeromonas bivalvium	8
Aeromonas cavernicola	7
Aeromonas dhakensis	1
Aeromonas diversa	1
Aeromonas enteropelogenes	1
Aeromonas finlandensis	1
Aeromonas fluvialis	8
Aeromonas hydrophila	89
Aeromonas jandaei	255
Aeromonas lacus	4
Aeromonas lusitana	4
Aeromonas molluscorum	1
Aeromonas popoffii	1
Aeromonas rivipollensis	9
Aeromonas rivuli	8
Aeromonas salmonicida	3
Aeromonas schubertii	3
Aeromonas sobria	4
Aeromonas tecta	3
Aeromonas veronii	1573
Aggregatibacter kilianii	2
Akkermansia muciniphila	2000
Aliarcobacter cibarius	71
Aliarcobacter cryaerophilus	1891
Aliarcobacter trophiarum	38
Alkalibacterium indicireducens	1
Amphibacillus haojiensis	2
Amylolactobacillus amylophilus	1
Anaerosphaera aminiphila	1
Anaerosphaera massiliensis	16
Anaerostipes hadrus	1
Anaerostipes hominis	3
Anaerostipes rhamnosivorans	1996
Arthrobacter ginkgonis	1
Atlantibacter hermannii	8
Bacillus aerophilus	21
Bacillus altitudinis	1
Bacillus atrophaeus	3
Bacillus australimaris	137
Bacillus halotolerans	1
Bacillus pseudoflexus	1
Bacillus pumilus	645
Bacillus safensis	32
Bacillus stratosphericus	22
Bacillus subtilis	1
Bacillus vallismortis	2
Bacillus velezensis	2
Bacillus xiamenensis	2
Bacillus zhangzhouensis	1088
Bacteroides caecimuris	2
Bacteroides eggerthii	2000
Bacteroides faecichinchillae	1
Bacteroides fragilis	1999
Bacteroides koreensis	1011
Bacteroides kribbi	81
Bacteroides luhongzhouii	12
Bacteroides ovatus	906
Bacteroides salyersiae	1
Bacteroides thetaiotaomicron	4
Bacteroides xylanisolvens	1982
Bacteroides zhangwenhongii	1
Bartonella alsatica	1
Bartonella ancashensis	1
Bartonella capreoli	1
Bartonella henselae	3
Bartonella koehlerae	2
Bartonella krasnovii	1
Bartonella massiliensis	1
Bartonella quintana	1987
Bartonella vinsonii	3
Bergeyella cardium	663
Bifidobacterium adolescentis	446
Bifidobacterium animalis	2000
Bifidobacterium dentium	2000
Bifidobacterium faecale	1554
Bifidobacterium longum	2000
Blautia argi	1
Blautia coccoides	742
Blautia hominis	1
Blautia marasmi	2
Blautia producta	1255
Bordetella avium	16
Bordetella bronchialis	3074
Bordetella bronchiseptica	3856
Bordetella flabilis	465
Bordetella hinzii	2388
Bordetella holmesii	3931
Bordetella parapertussis	21
Bordetella pertussis	11
Bordetella petrii	2
Bordetella sputigena	164
Bordetella trematum	6
Bordetella tumulicola	9
Borrelia hermsii	12
Borrelia maritima	47
Borrelia turcica	3
Borreliella afzelii	1069
Borreliella americana	43
Borreliella andersonii	7
Borreliella bissettiae	898
Borreliella californiensis	73
Borreliella carolinensis	1
Borreliella garinii	1192
Borreliella japonica	19
Borreliella lanei	11
Borreliella lusitaniae	193
Borreliella mayonii	3
Borreliella sinica	43
Borreliella spielmanii	44
Borreliella tanukii	58
Borreliella turdi	8
Borreliella valaisiana	21
Brevundimonas diminuta	1972
Brevundimonas faecalis	2
Brevundimonas naejangsanensis	26
Brucella abortus	56
Brucella anthropi	2
Brucella canis	540
Brucella ceti	31
Brucella cytisi	2
Brucella haematophila	1
Brucella inopinata	1
Brucella lupini	1
Brucella melitensis	137
Brucella microti	544
Brucella neotomae	17
Brucella ovis	133
Brucella pinnipedialis	34
Brucella suis	495
Brucella vulpis	3
Burkholderia aenigmatica	2
Burkholderia ambifaria	78
Burkholderia anthina	39
Burkholderia arboris	391
Burkholderia catarinensis	1
Burkholderia cepacia	94
Burkholderia contaminans	188
Burkholderia diffusa	1
Burkholderia dolosa	1
Burkholderia humptydooensis	5
Burkholderia lata	469
Burkholderia latens	2
Burkholderia metallica	475
Burkholderia oklahomensis	2
Burkholderia paludis	187
Burkholderia puraquae	25
Burkholderia pyrrocinia	1
Burkholderia seminalis	12
Burkholderia stabilis	8
Burkholderia territorii	1
Burkholderia thailandensis	13
Burkholderia ubonensis	1
Burkholderia vietnamiensis	4
Buttiauxella izardii	5
Buttiauxella massiliensis	3
Campylobacter aviculae	7
Campylobacter bilis	1
Campylobacter concisus	1999
Campylobacter fetus	2001
Campylobacter gracilis	2000
Campylobacter hyointestinalis	2000
Campylobacter insulaenigrae	3
Campylobacter jejuni	1726
Campylobacter lari	192
Campylobacter subantarcticus	65
Campylobacter taeniopygiae	6
Capnocytophaga canimorsus	1999
Capnocytophaga cynodegmi	1
Cedecea lapagei	6
Chlamydia pneumoniae	2000
Chlamydia trachomatis	2000
Chryseobacterium aureum	1
Chryseobacterium cucumeris	3
Chryseobacterium fistulae	1
Chryseobacterium indologenes	1909
Chryseobacterium lactis	1
Chryseobacterium lecithinasegens	5
Chryseobacterium nakagawai	2
Chryseobacterium timonianum	77
Chryseobacterium tructae	4
Citrobacter amalonaticus	5
Citrobacter bitternis	2
Citrobacter braakii	2
Citrobacter cronae	3
Citrobacter europaeus	11
Citrobacter farmeri	3
Citrobacter freundii	9
Citrobacter gillenii	26
Citrobacter koseri	1895
Citrobacter murliniae	6
Citrobacter pasteurii	3
Citrobacter telavivensis	3
Citrobacter tructae	1
Citrobacter werkmanii	1
Citrobacter youngae	10
Clostridioides difficile	2000
Collinsella stercoris	2000
Corynebacterium aurimucosum	1
Corynebacterium belfantii	972
Corynebacterium diphtheriae	831
Corynebacterium endometrii	1
Corynebacterium kroppenstedtii	1388
Corynebacterium parakroppenstedtii	612
Corynebacterium pseudotuberculosis	62
Corynebacterium rouxii	197
Corynebacterium silvaticum	807
Corynebacterium simulans	1995
Corynebacterium striatum	2
Corynebacterium ulcerans	1132
Coxiella burnetii	2000
Cronobacter condimenti	1
Cronobacter dublinensis	1
Cronobacter malonaticus	245
Cronobacter sakazakii	1707
Cronobacter turicensis	26
Cronobacter universalis	1
Cutibacterium acnes	2000
Desulfonatronovibrio magnus	1
Eggerthella lenta	2000
Eikenella corrodens	3
Elizabethkingia anophelis	1891
Elizabethkingia meningoseptica	11
Elizabethkingia occulta	95
Elizabethkingia ursingii	3
Enterobacter asburiae	53
Enterobacter bugandensis	3
Enterobacter cancerogenus	17
Enterobacter chengduensis	779
Enterobacter chuandaensis	206
Enterobacter cloacae	1842
Enterobacter hormaechei	131
Enterobacter huaxiensis	55
Enterobacter kobei	14
Enterobacter ludwigii	131
Enterobacter mori	56
Enterobacter oligotrophicus	2
Enterobacter quasihormaechei	1839
Enterobacter quasiroggenkampii	275
Enterobacter sichuanensis	1582
Enterobacter soli	3
Enterobacter wuhouensis	784
Enterococcus casseliflavus	1
Enterococcus faecalis	1987
Enterococcus gallinarum	4
Enterococcus hermanniensis	1
Enterococcus hirae	5
Enterococcus innesii	2
Enterococcus lemanii	2
Enterococcus mediterraneensis	3
Enterococcus nangangensis	1
Enterococcus pseudoavium	1
Enterococcus ratti	1
Enterococcus saccharolyticus	2
Enterococcus silesiacus	1
Enterococcus ureilyticus	1
Enterococcus wangshanyuanii	2
Erwinia aphidicola	2
Erwinia billingiae	3
Erwinia endophytica	1
Erwinia persicina	4
Erwinia tasmaniensis	17
Escherichia albertii	5
Escherichia coli	3
Escherichia fergusonii	899
Escherichia marmotae	199
Evansella cellulosilytica	1
Fictibacillus arsenicus	1
Fictibacillus barbaricus	1
Fictibacillus nanhaiensis	1
Fusobacterium canifelinum	2
Fusobacterium nucleatum	1950
Fusobacterium simiae	5
Fusobacterium watanabei	43
Haemophilus aegyptius	296
Haemophilus haemolyticus	1
Haemophilus influenzae	1698
Haemophilus parainfluenzae	2000
Helicobacter pylori	2000
Hungatella effluvii	11
Hungatella hathewayi	1980
Intestinirhabdus alba	1
Intrasporangium calvum	1
Janibacter anophelis	1
Janibacter cremeus	1
Janibacter hoylei	25
Janibacter indicus	1884
Janibacter melonis	2
Janibacter terrae	86
Kingella kingae	1958
Kingella negevensis	38
Klebsiella aerogenes	3959
Klebsiella africana	171
Klebsiella grimontii	54
Klebsiella michiganensis	1
Klebsiella oxytoca	1782
Klebsiella pasteurii	1917
Klebsiella pneumoniae	4917
Klebsiella quasipneumoniae	240
Klebsiella quasivariicola	181
Klebsiella variicola	377
Kluyvera cryocrescens	68
Kluyvera intermedia	3
Kosakonia oryzendophytica	2
Kosakonia quasisacchari	6
Kosakonia sacchari	3
Lacrimispora celerecrescens	1
Lacrimispora saccharolytica	5
Lacrimispora sphenoides	2
Lacrimispora xylanolytica	1
Lactococcus hodotermopsidis	2
Lactococcus paracarnosus	2
Leclercia adecarboxylata	169
Lelliottia amnigena	5
Lelliottia aquatilis	62
Lelliottia jeotgali	1
Listeria cossartiae	1807
Listeria farberi	15
Listeria innocua	120
Listeria ivanovii	1
Listeria marthii	6
Listeria seeligeri	6
Listeria swaminathanii	5
Listeria welshimeri	40
Longicatena caecimuris	2
Mangrovibacillus cuniculi	1
Marinilactibacillus piezotolerans	2
Metamycoplasma hominis	2000
Mixta mediterraneensis	1
Morganella morganii	1988
Morganella psychrotolerans	1
Mucilaginibacter ginkgonis	2
Mycobacterium attenuatum	1
Mycobacterium avium	1
Mycobacterium bohemicum	1
Mycobacterium decipiens	2
Mycobacterium gastri	1
Mycobacterium grossiae	1
Mycobacterium haemophilum	2
Mycobacterium innocens	1
Mycobacterium kansasii	4
Mycobacterium marinum	7
Mycobacterium paraintracellulare	1
Mycobacterium persicum	1
Mycobacterium pseudokansasii	1
Mycobacterium shottsii	1
Mycobacterium spongiae	1
Mycobacterium talmoniae	1
Mycobacterium tuberculosis	1974
Mycobacteroides abscessus	3416
Mycobacteroides chelonae	510
Mycobacteroides franklinii	3
Mycobacteroides immunogenum	5
Mycobacteroides salmoniphilum	3
Mycobacteroides saopaulense	54
Mycolicibacterium conceptionense	2
Mycolicibacterium hippocampi	1
Mycolicibacterium montmartrense	1
Mycolicibacterium neworleansense	1
Mycolicibacterium nivoides	3
Mycoplasmoides pneumoniae	2000
Neisseria cinerea	1096
Neisseria gonorrhoeae	2026
Neisseria macacae	1
Neisseria meningitidis	801
Neisseria mucosa	3
Neisseria perflava	31
Neisseria polysaccharea	42
Ornithinibacillus heyuanensis	1
Orrella dioscoreae	1
Paenibacillus tianmuensis	1
Pantoea agglomerans	90
Pantoea allii	1
Pantoea cypripedii	2
Pantoea dispersa	1
Pantoea rwandensis	1
Pantoea stewartii	1
Pectobacterium aroidearum	3
Pectobacterium betavasculorum	1
Pectobacterium brasiliense	1
Pectobacterium odoriferum	1
Pectobacterium polaris	3
Pectobacterium quasiaquaticum	8
Pectobacterium wasabiae	1
Peptoniphilus asaccharolyticus	777
Peptoniphilus coxii	1
Peptoniphilus duerdenii	4
Peptoniphilus duodeni	519
Peptoniphilus indolicus	30
Peptoniphilus koenoeneniae	461
Peptoniphilus methioninivorax	22
Peptoniphilus mikwangii	121
Peptoniphilus nemausensis	2
Peptoniphilus pacaensis	3
Peptoniphilus phoceensis	2
Peptoniphilus raoultii	3
Peptoniphilus urinimassiliensis	3
Peribacillus acanthi	42
Photorhabdus luminescens	1
Phytobacter diazotrophicus	1
Phytobacter palmae	25
Phytobacter ursingii	1
Pigmentiphaga daeguensis	1
Pontibacillus halophilus	1
Proteus hauseri	1
Proteus mirabilis	1994
Proteus penneri	1
Proteus vulgaris	2
Providencia alcalifaciens	1
Providencia burhodogranariea	26
Providencia huaxiensis	1374
Providencia rettgeri	425
Providencia rustigianii	1
Providencia sneebia	1
Providencia vermicola	172
Pseudenterobacter timonensis	3
Pseudescherichia vulneris	1
Pseudocitrobacter vendiensis	11
Pseudomonas aeruginosa	1992
Pseudomonas boanensis	3
Pseudomonas indica	1
Pseudomonas indoloxydans	1
Pseudomonas nicosulfuronedens	1
Pseudomonas tohonis	1
Raoultella ornithinolytica	9
Raoultella planticola	53
Raoultella terrigena	2
Rhizobium etli	1
Rhizobium rhizolycopersici	1
Rickettsia conorii	1036
Rickettsia honei	53
Rickettsia japonica	78
Rickettsia massiliae	2
Rickettsia parkeri	2
Rickettsia peacockii	1
Rickettsia rhipicephali	23
Rickettsia rickettsii	763
Rickettsia sibirica	15
Rickettsia slovaca	27
Rossellomorea aquimaris	1
Rouxiella aceris	2
Salmonella bongori	35
Salmonella enterica	2004
Scandinavium goeteborgense	22
Serratia entomophila	2
Serratia grimesii	3
Serratia inhibens	2
Serratia liquefaciens	8
Serratia marcescens	719
Serratia nematodiphila	826
Serratia oryzae	1
Serratia proteamaculans	2
Serratia quinivorans	1
Serratia surfactantfaciens	434
Serratia ureilytica	3
Shigella boydii	5
Shigella dysenteriae	31
Shigella flexneri	288
Shigella sonnei	564
Shimwellia blattae	1
Simonsiella muelleri	1
Sinomonas soli	1
Sinorhizobium meliloti	1
Sodalis ligni	2
Spirochaeta cellobiosiphila	1
Spodiobacter cordis	1336
Staphylococcus argenteus	225
Staphylococcus aureus	397
Staphylococcus borealis	3
Staphylococcus caprae	1
Staphylococcus epidermidis	2
Staphylococcus roterodami	1322
Staphylococcus schweitzeri	32
Staphylococcus simiae	15
Staphylococcus succinus	2
Stenotrophomonas cyclobalanopsidis	1
Stenotrophomonas geniculata	6
Stenotrophomonas maltophilia	1811
Stenotrophomonas pavanii	169
Streptococcus anginosus	1
Streptococcus australis	119
Streptococcus canis	4
Streptococcus castoreus	1
Streptococcus catagoni	1
Streptococcus chosunense	1
Streptococcus constellatus	8
Streptococcus cristatus	31
Streptococcus cuniculipharyngis	3
Streptococcus danieliae	3
Streptococcus didelphis	5
Streptococcus downei	1
Streptococcus downii	51
Streptococcus dysgalactiae	1
Streptococcus equi	1
Streptococcus equinus	1
Streptococcus gallinaceus	2
Streptococcus gallolyticus	1
Streptococcus gordonii	3
Streptococcus gwangjuense	4
Streptococcus himalayensis	5
Streptococcus hyointestinalis	1
Streptococcus ictaluri	1
Streptococcus ilei	60
Streptococcus infantis	97
Streptococcus iniae	1
Streptococcus intermedius	1
Streptococcus koreensis	33
Streptococcus lactarius	6
Streptococcus loxodontisalivarius	3
Streptococcus lutetiensis	3
Streptococcus massiliensis	3
Streptococcus mitis	47
Streptococcus oralis	955
Streptococcus oricebi	3
Streptococcus oriscaviae	4
Streptococcus orisratti	1
Streptococcus panodentis	17
Streptococcus parasanguinis	10
Streptococcus parasuis	3
Streptococcus penaeicida	1
Streptococcus periodonticum	58
Streptococcus peroris	12
Streptococcus phocae	1
Streptococcus plurextorum	1
Streptococcus pneumoniae	1849
Streptococcus porcorum	1
Streptococcus pseudopneumoniae	22
Streptococcus pyogenes	1995
Streptococcus rubneri	21
Streptococcus rupicaprae	1
Streptococcus salivarius	5
Streptococcus sanguinis	18
Streptococcus shenyangsis	31
Streptococcus suis	7
Streptococcus symci	16
Streptococcus thermophilus	1
Streptococcus timonensis	95
Streptococcus toyakuensis	206
Streptococcus troglodytidis	2
Streptococcus vestibularis	1
Streptococcus vicugnae	3
Streptococcus vulneris	39
Streptococcus zalophi	2
Stutzerimonas stutzeri	1
Superficieibacter electus	3
Symbiopectobacterium purcellii	7
Tatumella punctata	1
Trabulsiella guamensis	1
Trichococcus palustris	1
Trichococcus pasteurii	2
Unknown	326
Ureibacillus xyleni	2
Urinicoccus massiliensis	2
Urinicoccus timonensis	33
Vescimonas coprocola	1
Wujia chipingensis	2000
Xenorhabdus kozodoii	1
Yersinia aldovae	4
Yersinia artesiana	6
Yersinia canariae	140
Yersinia enterocolitica	427
Yersinia entomophaga	1
Yersinia frederiksenii	5
Yersinia hibernica	1287
Yersinia intermedia	1
Yersinia kristensenii	2
Yersinia mollaretii	1
Yersinia nurmii	4
Yersinia pekkanenii	5
Yersinia rochesterensis	1
Yersinia rohdei	63
Yersinia similis	1
Yersinia thracica	30
Yersinia vastinensis	9
Yokenella regensburgei	29
[Bacteroides] pectinophilus	1
[Clostridium] innocuum	1998
[Haemophilus] ducreyi	2000
[Haemophilus] piscium	5
[Pasteurella] mairii	1
[Pseudomonas] hibiscicola	13
